metric,model,test_W,test_WE,subtest_W,subtest_WE,source
accuracy,decision_tree,0.7265,0.7295,0.7769784172661871,0.7985611510791367,get_metrics_of_models.ipynb
accuracy,svm,0.769,0.763,0.8129496402877698,0.8237410071942446,get_metrics_of_models.ipynb
accuracy,gradient_boosting,0.746,0.7475,0.7949640287769785,0.7949640287769785,get_metrics_of_models.ipynb
accuracy,random_forest,0.8145,0.818,0.8057553956834532,0.8525179856115108,get_metrics_of_models.ipynb
accuracy,bilstm_attention,0.8635,0.8735,0.866906464099884,0.8920863270759583,get_metrics_of_models.ipynb
f1,decision_tree,0.7556945064761054,0.7566351776878093,0.8342245989304812,0.8461538461538463,get_metrics_of_models.ipynb
f1,svm,0.772189349112426,0.7662721893491123,0.8522727272727274,0.8528528528528528,get_metrics_of_models.ipynb
f1,gradient_boosting,0.75146771037182,0.7528144884973079,0.8376068376068376,0.8357348703170029,get_metrics_of_models.ipynb
f1,random_forest,0.8232491662696524,0.8255033557046979,0.8524590163934426,0.8838526912181304,get_metrics_of_models.ipynb
f1,bilstm_attention,0.8655834564254061,0.8685714285714285,0.8939828080229226,0.9107142857142858,get_metrics_of_models.ipynb
recall,svm,0.783,0.777,0.872093023255814,0.8255813953488372,get_metrics_of_models.ipynb
recall,decision_tree,0.846,0.841,0.9069767441860465,0.8953488372093024,get_metrics_of_models.ipynb
recall,random_forest,0.864,0.861,0.9069767441860465,0.9069767441860465,get_metrics_of_models.ipynb
recall,bilstm_attention,0.879,0.836,0.9069767441860465,0.8895348837209303,get_metrics_of_models.ipynb
precision,svm,0.7616731517509727,0.7558365758754864,0.8333333333333334,0.8819875776397516,get_metrics_of_models.ipynb
precision,decision_tree,0.6828087167070218,0.687653311529027,0.7722772277227723,0.8020833333333334,get_metrics_of_models.ipynb
precision,random_forest,0.7861692447679709,0.7928176795580111,0.8041237113402062,0.861878453038674,get_metrics_of_models.ipynb
precision,bilstm_attention,0.8525703200775946,0.9037837837837838,0.8813559322033898,0.9329268292682927,get_metrics_of_models.ipynb
loss,bilstm_attention_W,0.3118,,0.3056,,evaluate_loaded_dl_models.ipynb
loss,bilstm_attention_WE,0.3200,,0.2852,,evaluate_loaded_dl_models.ipynb
