split,model,modality,accuracy,f1,recall,precision,source
test,svm,single,0.769,0.772189349112426,0.783,0.7616731517509727,get_metrics_of_models.ipynb
test,svm,multi,0.763,0.7662721893491123,0.777,0.7558365758754864,get_metrics_of_models.ipynb
test,decision_tree,single,0.7265,0.7556945064761054,0.846,0.6828087167070218,get_metrics_of_models.ipynb
test,decision_tree,multi,0.7295,0.7566351776878093,0.841,0.687653311529027,get_metrics_of_models.ipynb
test,random_forest,single,0.8145,0.8232491662696524,0.864,0.7861692447679709,get_metrics_of_models.ipynb
test,random_forest,multi,0.818,0.8255033557046979,0.861,0.7928176795580111,get_metrics_of_models.ipynb
test,gradient_boosting,single,0.746,0.75146771037182,,,baseline_models.ipynb+get_metrics_of_models.ipynb
test,gradient_boosting,multi,0.7475,0.7528144884973079,,,baseline_models.ipynb+get_metrics_of_models.ipynb
test,bilstm_attention,single,0.8635,0.8655834564254061,0.879,0.8525703200775946,get_metrics_of_models.ipynb
test,bilstm_attention,multi,0.8735,0.8685714285714285,0.836,0.9037837837837838,get_metrics_of_models.ipynb
subtest,svm,single,0.8129496402877698,0.8522727272727274,0.872093023255814,0.8333333333333334,get_metrics_of_models.ipynb
subtest,svm,multi,0.8237410071942446,0.8528528528528528,0.8255813953488372,0.8819875776397516,get_metrics_of_models.ipynb
subtest,decision_tree,single,0.7769784172661871,0.8342245989304812,0.9069767441860465,0.7722772277227723,get_metrics_of_models.ipynb
subtest,decision_tree,multi,0.7985611510791367,0.8461538461538463,0.8953488372093024,0.8020833333333334,get_metrics_of_models.ipynb
subtest,random_forest,single,0.8057553956834532,0.8524590163934426,0.9069767441860465,0.8041237113402062,get_metrics_of_models.ipynb
subtest,random_forest,multi,0.8525179856115108,0.8838526912181304,0.9069767441860465,0.861878453038674,get_metrics_of_models.ipynb
subtest,gradient_boosting,single,0.7949640287769785,0.8376068376068376,,,get_metrics_of_models.ipynb
subtest,gradient_boosting,multi,0.7949640287769785,0.8357348703170029,,,get_metrics_of_models.ipynb
subtest,bilstm_attention,single,0.8669064748201439,0.8939828080229226,0.9069767441860465,0.8813559322033898,get_metrics_of_models.ipynb
subtest,bilstm_attention,multi,0.8920863309352518,0.9107142857142858,0.8895348837209303,0.9329268292682927,get_metrics_of_models.ipynb
